나그네하우스	daolguesthouse@gmail.com
(유)다올	sunrisehotelsungsan@naver.com
(유)다올	daol_00@naver.com
(주)한국정보기술단	acckisca@audit.co.kr
82 캡슐호텔	82capsule@gmail.com
가온레지던스	hgh4866@naver.com
간드락 게스트하우스	renohouse@naver.com
강동리조트	east@kangdongcnl.com
강릉스테이리베라	staylibera@naver.com
거성호텔	berobio2@naver.com
경주시은재	eaglekim01@daum.net
경포대 더호텔비즈니스	gkdl09499@naver.com
고양 YMCA	ymcayh@ymca.or.kr
고요재 호텔 수원화성행궁점	goyojae_hotel@naver.com
골든시티호텔	tax@gfresidence.co.kr
구도 레지던스 충무로	gudostudioltd@gmail.com
구도컬렉티브 강남	gudo.cg@gudoplanning.com
군산리츠프라자	ritzplaza@hanmail.net
나그네하우스	lgh11111@naver.com
나주시티호텔	newcityhotel@naver.com
낙산비치	ga@hweechan.co.kr
남포 베이먼트 호텔	be_ceo@naver.com
남포 오션투헤븐 호텔&스파	busanspahotel@gmail.com
노스텔지어 서울	lloun@naver.com
뉴그랜드 호텔	wosyo@hanmail.net
뉴스테이인	newstayinn@naver.com
뉴제주 호텔	newjejuhotel7001@gmail.com
니보라	ceo@nibora.kr
다니엘하우스	Guzelkokal@gmail.com
다다호텔	hoteldadaikseon@gmail.com
다미스테이 동묘, 송현 다미	mayorcida@naver.com
다자요	dazayo@dazayo.com
단양 빌라마르디	hq.mardi@gmail.com
더 뷰 호스텔	viewhostel01@naver.com
더낙산 호텔	ga@hweechan.co.kr
더로드 호스텔	theroad1030@naver.com
더베이스호텔	thek9900@daum.net
더원 게스트하우스	guesthouse.0610@gmail.com
더위트 도고	thewitt@naver.com
더캡슐 명동	admin@thecapsule.co.kr
더편안 트리니 호텔	serendipitystay12@gmail.com
더호텔영종	tns887702@bill36524.com
덕천연수원	tkddla9167@naver.com
동아호텔	dongahotel@naver.com
동해현진관광호텔	dhyunjinhotel@daum.net
라메르 호텔	shuber@naver.com
라미아호텔	mspark@goodtk.com
라이프인 (을지로, 인사, 청계)	contact@lifein.co.kr
라이프인 (을지로, 인사, 청계)	contact@lifein.co.kr
라이프인 (을지로, 인사, 청계)	contact@lifein.co.kr
래빗호텔 (Rabbit Hotel)	luckysong2@naver.com
레드 게스트하우스	redguesthouse1@gmail.com
레전드호텔	ozekim@daum.net
렉스호텔	rexhotel@daum.net
로제니아	kdh@logenir.com
로지스테이션	lck02@hanmail.net
루체빌리조트	hjs110243@hcj.co.kr
룩스 게스트하우스	luxguesthouse1@gmail.com
룩앤 스테이	ida1588@naver.com
마리쏠 호텔	hotelmarysol@naver.com
마제스틱 서울스테이	epickers231@naver.com
메리히어 제주	merryhere@mysc.co.kr
목 호스텔	mok.hostel@gmail.com
무주연수원	jisu@mujudream.com
문경관광호텔	mghotel@hanmail.net
바구니 호스텔	bagunihostel@naver.com
바비엥스위트	frontdesk@vabiensuite.com
백패커스 인 여수 호스텔	yeosubackpackers@gmail.com
벙크 게스트하우스	bunk.seoul@gmail.com
